Course_Original,Course_Number,Section,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 25,Seats Available after Phase 25,Phase 25 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price
33501-01,33501,01,International Commercial Policy,Spring,2025,"Thursday,Tuesday, 1:30 pm - 2:50 pm","Adao, Rodrigo",23.0,42,0.0,25.0,40,0.0,,,,,,,,,,,,
33520-01,33520,01,The Wealth of Nations,Spring,2025,"Tuesday, 01:30 pm - 04:30 pm","Hsieh, Chang-Tai",65.0,CLO,1.0,61.0,4,0.0,,,,,,,,,,,,
33520-81,33520,81,The Wealth of Nations,Spring,2025,"Monday, 6:00 pm - 9:00 pm","Hsieh, Chang-Tai",21.0,44,0.0,20.0,45,0.0,,,,,,,,,,,,
33610-60,33610,60,Applied Economics Workshop,Spring,2025,"Wednesday, 01:20 pm - 02:50 pm","Budish, Eric; Mountjoy, Jack",6.0,26,0.0,7.0,25,0.0,,,,,,,,,,,,
33630-60,33630,60,Workshop: Money and Banking,Spring,2025,"Wednesday, 03:30 pm - 05:00 pm","Staff, Staff",0.0,30,0.0,0.0,30,0.0,,,,,,,,,,,,
33650-60,33650,60,Workshop in Macro and International Economics,Spring,2025,"Monday, 12:00 pm - 01:15 pm","Adao, Rodrigo",1.0,29,0.0,1.0,29,0.0,,,,,,,,,,,,
33905-50,33905,50,Microeconomics Reading and Research Seminar,Spring,2025,"Wednesday, 04:30 pm - 06:00 pm","Budish, Eric; Notowidigdo, Matthew; Zwick, Eric",4.0,16,0.0,4.0,16,0.0,,,,,,,,,,,,
33915-50,33915,50,Market Design,Spring,2025,"Thursday, 9:00 am - 12:00 pm","Budish, Eric; Leshno, Jacob",1.0,34,0.0,1.0,34,0.0,,,,,,,,,,,,
33918-50,33918,50,Topics in Labor Economics,Spring,2025,"Tuesday, 9:00 am - 12:00 pm","Humlum, Anders; Mountjoy, Jack; Notowidigdo, Matthew",0.0,22,0.0,0.0,22,0.0,,,,,,,,,,,,
33920-50,33920,50,Health Economics Literature Seminar,Spring,2025,"Wednesday, 10:10 am - 11:30 am","Gottlieb, Joshua",3.0,17,0.0,3.0,17,0.0,,,,,,,,,,,,
33923-50,33923,50,Advanced Industrial Organization III,Spring,2025,"Monday,Wednesday, 1:30 pm - 2:50 pm","Staff, Staff",,,,2.0,13,0.0,,,,,,,,,,,,
33942-50,33942,50,Applied Macroeconomics: Micro Data for Macro Models,Spring,2025,"Monday, 01:30 pm - 04:30 pm","Hsieh, Chang-Tai; Hurst, Erik",1.0,19,0.0,1.0,19,0.0,,,,,,,,,,,,
34101-01,34101,01,Entrepreneurial Finance and Private Equity,Spring,2025,"Wednesday, 8:30 am - 11:30 am","Meadow, Scott",75.0,CLO,8002.0,75.0,CLO,11532.0,,,,,,,,,,,,
34101-02,34101,02,Entrepreneurial Finance and Private Equity,Spring,2025,"Tuesday, 3:30 pm - 6:30 pm","Fasano, Jim",30.0,35,0.0,26.0,39,0.0,,,,,,,,,,,,
34102-01,34102,01,New Venture Strategy,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Bunch, Gregory",41.0,24,0.0,48.0,17,0.0,,,,,,,,,,,,
34102-02,34102,02,New Venture Strategy,Spring,2025,"Wednesday, 05:00 pm - 08:00 pm","Bacon, Jeremie",12.0,53,0.0,16.0,49,0.0,,,,,,,,,,,,
34103-01,34103,01,Building the New Venture,Spring,2025,"Monday, 1:30 pm - 4:30 pm","Breuer, Ale",23.0,22,0.0,26.0,19,0.0,,,,,,,,,,,,
34103-81,34103,81,Building the New Venture,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Fried, Jennifer",11.0,34,0.0,10.0,35,0.0,,,,,,,,,,,,
34106-01,34106,01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2025,"Friday, 8:30 am - 11:30 am","Meadow, Scott",55.0,CLO,4193.0,55.0,CLO,9575.0,,,,,,,,,,,,
34106-85,34106,85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2025,"Saturday, 9:00 am - 12:00 pm","Meadow, Scott",40.0,15,0.0,43.0,12,0.0,,,,,,,,,,,,
34108-81,34108,81,Innovation Leadership,Spring,2025,"Wednesday, 6:00 pm - 9:00 pm","Janega, James",34.0,6,0.0,40.0,CLO,2529.0,,,,,,,,,,,,
34111-01,34111,01,Entrepreneurial Selling,Spring,2025,"Tuesday, 01:30 pm - 04:30 pm","Alter, Michael",70.0,CLO,107.0,70.0,CLO,10013.0,,,,,,,,,,,,
34111-81,34111,81,Entrepreneurial Selling,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Alter, Michael",31.0,34,0.0,35.0,30,0.0,,,,,,,,,,,,
34211-81,34211,81,Value Creation in Small Businesses,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Cremons, Dan; Hodgkin, Alex",65.0,CLO,5000.0,65.0,CLO,24545.0,,,,,,,,,,,,
34219-01,34219,01,Institutional Private Capital Investing,Spring,2025,"Thursday, 01:30 pm - 04:30 pm","Hepp, Stefan",43.0,22,0.0,48.0,17,0.0,,,,,,,,,,,,
34219-85,34219,85,Institutional Private Capital Investing,Spring,2025,"Saturday, 1:30 pm - 4:30 pm","Hepp, Stefan",37.0,28,0.0,41.0,24,0.0,,,,,,,,,,,,
34220-81,34220,81,Advanced New Venture Strategy Workshop,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Schrager, James",25.0,15,0.0,35.0,5,0.0,,,,,,,,,,,,
34302-01,34302,01,Entrepreneurship through Acquisition,Spring,2025,"Tuesday, 01:30 pm - 04:30 pm","Littell, Catherine; Walker, Anthony",65.0,CLO,3507.0,65.0,CLO,9782.0,,,,,,,,,,,,
34905-50,34905,50,Asset Pricing III,Spring,2025,"Monday, 08:30 am - 11:30 am","Constantinides, George; Nagel, Stefan",3.0,17,0.0,3.0,17,0.0,,,,,,,,,,,,
35000-01,35000,01,Investments,Spring,2025,"Monday, 08:30 am - 11:30 am","Gormsen, Niels",55.0,10,0.0,59.0,6,0.0,,,,,,,,,,,,
35000-02,35000,02,Investments,Spring,2025,"Monday, 01:30 pm - 04:30 pm","Gormsen, Niels",65.0,CLO,807.0,64.0,1,0.0,,,,,,,,,,,,
35000-03,35000,03,Investments,Spring,2025,"Wednesday, 08:30 am - 11:30 am","Vandeweyer, Quentin",57.0,8,0.0,59.0,6,0.0,,,,,,,,,,,,
35000-04,35000,04,Investments,Spring,2025,"Thursday, 08:30 am - 11:30 am","Vandeweyer, Quentin",29.0,36,0.0,31.0,34,0.0,,,,,,,,,,,,
35000-81,35000,81,Investments,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Vandeweyer, Quentin",36.0,29,0.0,32.0,33,0.0,,,,,,,,,,,,
35000-85,35000,85,Investments,Spring,2025,"Saturday, 9:00 am - 12:00 pm","Gormsen, Niels",56.0,9,0.0,61.0,4,0.0,,,,,,,,,,,,
35120-01,35120,01,Portfolio Management,Spring,2025,"Monday, 08:30 am - 11:30 am","Pastor, Lubos",24.0,41,0.0,31.0,34,0.0,,,,,,,,,,,,
35120-02,35120,02,Portfolio Management,Spring,2025,"Monday, 01:30 pm - 04:30 pm","Pastor, Lubos",56.0,9,0.0,62.0,3,0.0,,,,,,,,,,,,
35120-81,35120,81,Portfolio Management,Spring,2025,"Monday, 6:00 pm - 9:00 pm","Pastor, Lubos",65.0,CLO,5202.0,65.0,CLO,10000.0,,,,,,,,,,,,
35123-01,35123,01,The FinTech Revolution,Spring,2025,"Tuesday, 8:30 am - 11:30 am","Zingales, Luigi",65.0,CLO,1.0,65.0,CLO,3000.0,,,,,,,,,,,,
35123-81,35123,81,The FinTech Revolution,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Zingales, Luigi",37.0,28,0.0,51.0,14,0.0,,,,,,,,,,,,
35124-01,35124,01,Arbitrage Investing,Spring,2025,"Monday,Wednesday, 10:10 am - 11:30 am","Mitchell, Mark",30.0,35,0.0,32.0,33,0.0,,,,,,,,,,,,
35130-01,35130,01,Fixed Income Asset Pricing,Spring,2025,"Tuesday, 08:30 am - 11:30 am","Heaton, John",42.0,23,0.0,45.0,20,0.0,,,,,,,,,,,,
35130-85,35130,85,Fixed Income Asset Pricing,Spring,2025,"Saturday, 1:30 pm - 4:30 pm","Heaton, John",25.0,40,0.0,32.0,33,0.0,,,,,,,,,,,,
35137-01,35137,01,Machine Learning in Finance,Spring,2025,"Monday, 08:30 am - 11:30 am","Bybee, Leland",45.0,20,0.0,43.0,22,0.0,,,,,,,,,,,,
35137-81,35137,81,Machine Learning in Finance,Spring,2025,"Monday, 6:00 pm - 9:00 pm","Bybee, Leland",22.0,43,0.0,21.0,44,0.0,,,,,,,,,,,,
35200-01,35200,01,Corporation Finance,Spring,2025,"Wednesday, 08:30 am - 11:30 am","Noel, Pascal",65.0,CLO,0.0,65.0,CLO,3478.0,,,,,,,,,,,,
35200-02,35200,02,Corporation Finance,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Noel, Pascal",65.0,CLO,1000.0,65.0,CLO,2501.0,,,,,,,,,,,,
35200-03,35200,03,Corporation Finance,Spring,2025,"Thursday, 8:30 am - 11:30 am","Noel, Pascal",32.0,33,0.0,45.0,20,0.0,,,,,,,,,,,,
35201-01,35201,01,Cases in Financial Management,Spring,2025,"Tuesday, 08:30 am - 11:30 am","Born, Laura",65.0,CLO,12879.0,65.0,CLO,23108.0,,,,,,,,,,,,
35201-02,35201,02,Cases in Financial Management,Spring,2025,"Friday, 1:30 pm - 4:30 pm","Andrade, Gregor",43.0,22,0.0,45.0,20,0.0,,,,,,,,,,,,
35201-81,35201,81,Cases in Financial Management,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Pierce, Joshua",47.0,18,0.0,56.0,9,0.0,,,,,,,,,,,,
35214-01,35214,01,"Debt, Distress, and Restructuring",Spring,2025,"Thursday, 01:30 pm - 04:30 pm","Sufi, Amir",65.0,CLO,5783.0,65.0,CLO,15558.0,,,,,,,,,,,,
35214-81,35214,81,"Debt, Distress, and Restructuring",Spring,2025,"Wednesday, 6:00 pm - 9:00 pm","Sufi, Amir",38.0,27,0.0,37.0,28,0.0,,,,,,,,,,,,
35225-01,35225,01,Crony Capitalism,Spring,2025,"Wednesday, 8:30 am - 11:30 am","Zingales, Luigi",33.0,CLO,5389.0,33.0,CLO,20022.0,,,,,,,,,,,,
35600-60,35600,60,Seminar: Finance,Spring,2025,"Tuesday, 01:20 pm - 02:50 pm","Sikorskaya, Taisiya; Vandeweyer, Quentin",1.0,29,0.0,1.0,29,0.0,,,,,,,,,,,,
35601-60,35601,60,Applied Theory Workshop,Spring,2025,"Tuesday, 03:30 pm - 05:00 pm","Staff, Staff",0.0,30,0.0,0.0,30,0.0,,,,,,,,,,,,
35932-01,35932,01,Research Seminar,Spring,2025,"Wednesday, 10:30 am - 11:50 am","Vavra, Joseph",0.0,65,0.0,0.0,65,0.0,,,,,,,,,,,,
35932-50,35932,50,Research Seminar,Spring,2025,"Tuesday, 08:30 am - 11:30 am","Nagel, Stefan; Noel, Pascal; Zhang, Anthony",0.0,20,0.0,0.0,20,0.0,,,,,,,,,,,,
36106-01,36106,01,Managerial Decision Modeling,Spring,2025,"Monday, 08:30 am - 11:30 am","Afèche, Philipp",15.0,30,0.0,14.0,31,0.0,,,,,,,,,,,,
36106-02,36106,02,Managerial Decision Modeling,Spring,2025,"Monday, 01:30 pm - 04:30 pm","Afèche, Philipp",30.0,15,0.0,32.0,13,0.0,,,,,,,,,,,,
36109-01,36109,01,Advanced Decision Models with Python,Spring,2025,"Tuesday, 01:30 pm - 04:30 pm","Eisenstein, Donald",21.0,9,0.0,30.0,CLO,1.0,,,,,,,,,,,,
36109-02,36109,02,Advanced Decision Models with Python,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Eisenstein, Donald",20.0,10,0.0,25.0,5,0.0,,,,,,,,,,,,
36109-81,36109,81,Advanced Decision Models with Python,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Eisenstein, Donald",30.0,CLO,2.0,30.0,CLO,7500.0,,,,,,,,,,,,
36110-01,36110,01,Application Development,Spring,2025,"Monday, 01:30 pm - 04:30 pm","Betina, Raghu",30.0,CLO,1000.0,30.0,CLO,1.0,,,,,,,,,,,,
36110-81,36110,81,Application Development,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Betina, Raghu",11.0,19,0.0,12.0,18,0.0,,,,,,,,,,,,
36111-81,36111,81,Application Development II,Spring,2025,"Wednesday, 6:00 pm - 9:00 pm","Betina, Raghu",13.0,17,0.0,14.0,16,0.0,,,,,,,,,,,,
36600-60,36600,60,Workshop in Operations/Management Science,Spring,2025,"Tuesday, 12:10 pm - 01:10 pm","DeValve, Levi; Han, X.Y.",1.0,29,0.0,1.0,29,0.0,,,,,,,,,,,,
36922-50,36922,50,"Online Learning, Operations, and Electronic Markets",Spring,2025,"Friday, 9:00 am - 12:00 pm","Niazadeh, Rad",2.0,33,0.0,2.0,33,0.0,,,,,,,,,,,,
37000-01,37000,01,Marketing Strategy,Spring,2025,"Wednesday, 08:30 am - 11:30 am","Dietvorst, Berkeley",28.0,37,0.0,45.0,20,0.0,,,,,,,,,,,,
37000-02,37000,02,Marketing Strategy,Spring,2025,"Thursday, 08:30 am - 11:30 am","Korganbekova, Malika",17.0,48,0.0,23.0,42,0.0,,,,,,,,,,,,
37000-03,37000,03,Marketing Strategy,Spring,2025,"Thursday, 01:30 pm - 04:30 pm","Korganbekova, Malika",17.0,48,0.0,17.0,48,0.0,,,,,,,,,,,,
37000-04,37000,04,Marketing Strategy,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Dietvorst, Berkeley",13.0,52,0.0,14.0,51,0.0,,,,,,,,,,,,
37000-81,37000,81,Marketing Strategy,Spring,2025,"Wednesday, 6:00 pm - 9:00 pm","Dietvorst, Berkeley",20.0,45,0.0,19.0,46,0.0,,,,,,,,,,,,
37101-01,37101,01,Consumer Behavior,Spring,2025,"Thursday, 01:30 pm - 04:30 pm","Donnelly, Kristin",65.0,CLO,1082.0,70.0,CLO,5611.0,,,,,,,,,,,,
37101-81,37101,81,Consumer Behavior,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Donnelly, Kristin",28.0,37,0.0,27.0,38,0.0,,,,,,,,,,,,
37107-01,37107,01,Experimental Marketing,Spring,2025,"Wednesday, 8:30 am - 11:30 am","Urminsky, Oleg",9.0,29,0.0,14.0,24,0.0,,,,,,,,,,,,
37107-81,37107,81,Experimental Marketing,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Urminsky, Oleg",11.0,54,0.0,14.0,51,0.0,,,,,,,,,,,,
37200-01,37200,01,New Products and Services,Spring,2025,"Wednesday, 8:30 am - 11:30 am","Terrill, Craig",55.0,CLO,2000.0,55.0,CLO,6000.0,,,,,,,,,,,,
37200-85,37200,85,New Products and Services,Spring,2025,"Saturday, 1:30 pm - 4:30 pm","Terrill, Craig",55.0,CLO,400.0,55.0,CLO,20000.0,,,,,,,,,,,,
37202-01,37202,01,Pricing Strategies,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Dubé, Jean-Pierre",65.0,CLO,14481.0,65.0,CLO,0.0,,,,,,,,,,,,
37202-81,37202,81,Pricing Strategies,Spring,2025,"Wednesday, 6:00 pm - 9:00 pm","Dubé, Jean-Pierre",65.0,CLO,6246.0,65.0,CLO,11999.0,,,,,,,,,,,,
37209-81,37209,81,Brand Management in a Digital Age,Spring,2025,"Monday, 6:00 pm - 9:00 pm","Hafen, Tom",59.0,6,0.0,64.0,1,0.0,,,,,,,,,,,,
37601-60,37601,60,Marketing Workshop,Spring,2025,"Tuesday, 10:40 am - 12:00 pm","Hu, Beidi; Korganbekova, Malika; Strulov-Shlain, Avner",4.0,26,0.0,5.0,25,0.0,,,,,,,,,,,,
37903-50,37903,50,Adv Mktg Theory: Behavioral Science Approach,Spring,2025,"Wednesday, 3:00 pm - 6:00 pm","Sussman, Abigail",5.0,17,0.0,5.0,17,0.0,,,,,,,,,,,,
38001-01,38001,01,Managing in Organizations,Spring,2025,"Tuesday, 08:30 am - 11:30 am","Fishbach, Ayelet",29.0,36,0.0,56.0,9,0.0,,,,,,,,,,,,
38001-02,38001,02,Managing in Organizations,Spring,2025,"Wednesday, 08:30 am - 11:30 am","Fishbach, Ayelet",31.0,34,0.0,42.0,23,0.0,,,,,,,,,,,,
38001-03,38001,03,Managing in Organizations,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Fishbach, Ayelet",58.0,7,0.0,65.0,CLO,3000.0,,,,,,,,,,,,
38002-01,38002,01,Managerial Decision Making,Spring,2025,"Thursday, 08:30 am - 11:30 am","Hastie, Reid",39.0,26,0.0,40.0,25,0.0,,,,,,,,,,,,
